0.000000, BDCR ok: 00008200
0.000000, flash: latency=0
0.000000, rcc: Clocks { hclk1: MaybeHertz(16000000), hclk2: MaybeHertz(16000000), hse: MaybeHertz(0), lse: MaybeHertz(0), lsi: MaybeHertz(0), pclk1: MaybeHertz(16000000), pclk1_tim: MaybeHertz(16000000), pclk2: MaybeHertz(16000000), pclk2_tim: MaybeHertz(16000000), pll1_q: MaybeHertz(0), plli2s1_p: MaybeHertz(0), plli2s1_q: MaybeHertz(0), plli2s1_r: MaybeHertz(0), pllsai1_q: MaybeHertz(0), rtc: MaybeHertz(32000), sys: MaybeHertz(16000000) }
0.000122, Hello World!
0.001007, VrefInt: 1499
0.001770, VCCA: 3305 mV
9.966278, 344, 277
9.977905, 375, 302
9.989532, 376, 303
10.001159, 365, 294
10.012786, 363, 293
10.036041, 387, 312
10.047668, 347, 280
10.059295, 375, 302
10.070922, 375, 302
10.082550, 364, 293
10.094177, 363, 293
10.105804, 359, 289
10.117431, 370, 298
10.129058, 360, 290
10.140686, 365, 294
10.152313, 375, 302
10.163940, 363, 293
10.175567, 381, 307
10.187194, 362, 292
10.198822, 367, 296
10.210449, 378, 305
10.222076, 382, 308
10.233703, 370, 298
10.245330, 362, 292
10.256958, 381, 307
10.268585, 362, 292
10.280212, 365, 294
10.291839, 375, 302
10.303466, 370, 298
10.315093, 368, 297
10.326721, 376, 303
10.338348, 371, 299
10.361602, 366, 295
10.373229, 363, 293
10.384857, 379, 305
10.396484, 384, 309
10.408111, 358, 288
10.419738, 362, 292
10.431365, 356, 287
10.442993, 361, 291
10.454620, 378, 305
10.466247, 377, 304
10.477874, 382, 308
10.489501, 376, 303
10.501129, 369, 297
10.512756, 376, 303
10.524383, 365, 294
10.536010, 369, 297
10.547637, 361, 291
10.559265, 389, 314
10.570892, 343, 276
10.582519, 375, 302
10.594146, 374, 301
10.605773, 364, 293
10.617401, 367, 296
10.629028, 377, 304
10.640655, 384, 309
10.652282, 347, 280
10.663909, 369, 297
10.675537, 360, 290
10.687164, 355, 286
10.698791, 365, 294
10.710418, 372, 300
10.722045, 365, 294
10.733673, 376, 303
10.745300, 383, 309
10.756927, 388, 313
10.768554, 348, 280
10.780181, 380, 306
10.791809, 359, 289
10.803436, 384, 309
10.815063, 344, 277
10.826690, 367, 296
10.838317, 359, 289
10.849945, 370, 298
10.861572, 382, 308
10.873199, 375, 302
10.884826, 371, 299
10.896453, 366, 295
10.908081, 380, 306
10.919708, 386, 311
10.931335, 347, 280
10.942962, 353, 284
10.954589, 368, 297
10.966217, 360, 290
10.977844, 372, 300
10.989471, 374, 301
11.012725, 361, 291
11.024353, 375, 302
11.035980, 382, 308
11.047607, 386, 311
11.059234, 369, 297
11.070861, 369, 297
11.082489, 367, 296
11.094116, 375, 302
11.105743, 370, 298
11.117370, 382, 308
11.128997, 365, 294
11.140625, 369, 297
11.152252, 374, 301
11.163879, 389, 314
11.175506, 367, 296
11.187133, 371, 299
11.198760, 363, 293
11.210388, 375, 302
11.222015, 386, 311
11.233642, 344, 277
11.245269, 372, 300
11.256896, 372, 300
11.268524, 376, 303
11.280151, 380, 306
11.291778, 377, 304
11.303405, 384, 309
11.315032, 342, 276
11.326660, 367, 296
11.338287, 362, 292
11.349914, 357, 288
11.361541, 382, 308
11.373168, 362, 292
11.384796, 369, 297
11.396423, 359, 289
11.408050, 365, 294
11.419677, 367, 296
11.431304, 366, 295
11.442932, 372, 300
11.454559, 376, 303
11.466186, 370, 298
11.477813, 377, 304
11.489440, 379, 305
11.501068, 373, 301
11.512695, 378, 305
11.524322, 384, 309
11.535949, 362, 292
11.547576, 361, 291
11.559204, 357, 288
11.570831, 365, 294
11.582458, 365, 294
11.594085, 357, 288
11.605712, 378, 305
11.617340, 374, 301
11.628967, 381, 307
11.640594, 385, 310
11.652221, 352, 284
11.663848, 381, 307
11.675476, 366, 295
11.687103, 384, 309
11.698730, 362, 292
11.710357, 373, 301
11.721984, 363, 293
11.733551, 366, 295
11.745178, 372, 300
11.756805, 376, 303
11.768432, 369, 297
11.780059, 378, 305
11.791687, 382, 308
11.803314, 388, 313
11.814941, 346, 279
11.826568, 375, 302
11.838195, 361, 291
11.849822, 378, 305
11.861450, 380, 306
11.873077, 362, 292
11.884704, 389, 314
11.896331, 363, 293
11.907958, 361, 291
11.919586, 369, 297
11.931213, 363, 293
11.942840, 358, 288
11.954467, 359, 289
11.966094, 383, 309
11.977722, 378, 305
11.989349, 383, 309
12.000976, 367, 296
12.012603, 369, 297
12.024230, 385, 310
12.035858, 345, 278
12.047485, 356, 287
12.059112, 367, 296
12.070739, 383, 309
12.082366, 369, 297
12.093994, 361, 291
12.105621, 364, 293
12.117248, 358, 288
12.128814, 386, 311
12.140441, 346, 279
12.152069, 354, 285
12.163696, 371, 299
12.175323, 372, 300
12.186950, 381, 307
12.198577, 361, 291
12.210205, 380, 306
12.221832, 374, 301
12.233459, 367, 296
12.245086, 370, 298
12.256713, 378, 305
12.268341, 385, 310
12.279968, 364, 293
12.291595, 359, 289
12.314849, 363, 293
12.326477, 367, 296
12.338104, 357, 288
12.349731, 368, 297
12.361358, 360, 290
12.372985, 375, 302
12.384613, 365, 294
12.396240, 378, 305
12.407867, 375, 302
12.419494, 376, 303
12.431121, 370, 298
12.442749, 361, 291
12.454376, 364, 293
12.466003, 378, 305
12.477630, 377, 304
12.489257, 371, 299
12.500885, 378, 305
12.512512, 367, 296
12.524078, 381, 307
12.535705, 369, 297
12.547332, 369, 297
12.558959, 355, 286
12.570587, 365, 294
12.582214, 377, 304
12.593841, 379, 305
12.605468, 364, 293
12.617095, 377, 304
12.628723, 367, 296
12.640350, 361, 291
12.651977, 384, 309
12.663604, 363, 293
12.675231, 374, 301
12.686859, 383, 309
12.698486, 367, 296
12.710113, 392, 316
12.721740, 349, 281
12.733367, 364, 293
12.744995, 375, 302
12.756622, 362, 292
12.768249, 364, 293
12.779876, 357, 288
12.791503, 382, 308
12.803131, 380, 306
12.814758, 389, 314
12.826385, 369, 297
12.838012, 357, 288
12.849639, 381, 307
12.861267, 366, 295
12.872894, 370, 298
12.884521, 377, 304
12.896148, 382, 308
12.907775, 368, 297
12.919403, 360, 290
12.931030, 379, 305
12.942657, 373, 301
12.954284, 387, 312
12.965911, 363, 293
12.977539, 355, 286
12.989166, 372, 300
13.000793, 371, 299
13.012420, 382, 308
13.024047, 377, 304
13.035675, 368, 297
13.047302, 365, 294
13.058929, 364, 293
13.070556, 373, 301
13.082183, 377, 304
13.093811, 370, 298
13.105438, 373, 301
13.117065, 368, 297
13.128692, 365, 294
13.140319, 375, 302
13.151947, 375, 302
13.163574, 367, 296
13.175201, 382, 308
13.186828, 372, 300
13.198455, 384, 309
13.210083, 351, 283
13.221710, 370, 298
13.233337, 363, 293
13.244964, 371, 299
13.256591, 360, 290
13.268218, 374, 301
13.279846, 367, 296
13.291473, 378, 305
13.303100, 358, 288
13.314727, 371, 299
13.326354, 377, 304
13.337982, 363, 293
13.349609, 378, 305
13.361236, 363, 293
13.372863, 367, 296
13.396118, 370, 298
13.407745, 376, 303
13.419372, 363, 293
13.430999, 378, 305
13.442626, 377, 304
13.454254, 384, 309
13.465881, 344, 277
13.477508, 372, 300
13.489135, 362, 292
13.500762, 374, 301
