0.100494, VREFINT_LOW 1669
0.100921, ADC_DR 0
0.101623, ADC reference value is 65520
8.780212, 10224, 72.269485
8.794372, 9712, 68.51055
8.808532, 9712, 65.12826
8.822692, 65520, 1334.3334
8.836853, 32752, 654.0612
8.851013, 32752, 433.43243
8.865173, 32752, 324.23233
8.879333, 32752, 259.0645
8.893493, 17392, 215.7651
8.907653, 17392, 184.90805
8.921813, 32752, 161.80402
8.935974, 32752, 143.85715
8.950134, 17392, 129.51405
8.964294, 17392, 117.78832
8.992584, 4080, 99.765434
9.006744, 5616, 92.690544
9.020904, 8176, 86.5615
9.035064, 9712, 81.2005
9.049224, 9712, 76.471695
9.063385, 9712, 72.269485
9.077545, 9712, 68.51055
9.091705, 8176, 65.12826
9.105865, 34800, 1334.3334
9.120025, 32752, 654.0612
9.134185, 17392, 433.43243
9.148345, 17392, 324.23233
9.162506, 17392, 259.0645
9.176666, 17392, 215.7651
9.190826, 17392, 184.90805
9.204986, 17392, 161.80402
9.219146, 17392, 143.85715
9.233306, 17392, 129.51405
9.247467, 17392, 117.78832
9.261627, 17392, 108.023415
9.275787, 9712, 99.765434
9.289947, 8176, 92.690544
9.304107, 4848, 86.5615
9.318267, 8176, 81.2005
9.332427, 8176, 76.471695
9.346588, 8176, 72.269485
9.360748, 8176, 68.51055
9.374908, 8176, 65.12826
9.389068, 65520, 1334.3334
9.403228, 32752, 654.0612
9.417388, 32752, 433.43243
9.431549, 32752, 324.23233
9.445709, 18416, 259.0645
9.459869, 17392, 215.7651
9.474029, 17392, 184.90805
9.488189, 17392, 161.80402
9.502349, 17392, 143.85715
9.516510, 17392, 129.51405
9.530670, 17392, 117.78832
9.544830, 17392, 108.023415
9.558990, 17392, 99.765434
9.573150, 17392, 92.690544
9.587310, 13296, 86.5615
9.601470, 10224, 81.2005
9.615631, 9712, 76.471695
9.629791, 9712, 72.269485
9.643951, 9712, 68.51055
9.658111, 8176, 65.12826
9.672271, 34800, 1334.3334
9.686431, 32752, 654.0612
9.700592, 32752, 433.43243
9.714752, 17392, 324.23233
9.728912, 17392, 259.0645
9.743072, 17392, 215.7651
9.757232, 17392, 184.90805
9.771392, 17392, 161.80402
9.785552, 17392, 143.85715
9.799713, 17392, 129.51405
9.813873, 17392, 117.78832
9.828033, 17392, 108.023415
9.842193, 17392, 99.765434
9.856353, 17392, 92.690544
9.870513, 14832, 86.5615
9.884674, 12784, 81.2005
9.898834, 9712, 76.471695
9.912994, 9712, 72.269485
9.927154, 9712, 68.51055
9.941314, 9712, 65.12826
9.955474, 65520, 1334.3334
9.969635, 32752, 654.0612
9.983795, 22512, 433.43243
9.997955, 17392, 324.23233
10.012115, 17392, 259.0645
10.026275, 17392, 215.7651
10.040435, 17392, 184.90805
10.054595, 17392, 161.80402
10.068756, 17392, 143.85715
10.082916, 17392, 129.51405
10.097076, 17392, 117.78832
10.111236, 13296, 108.023415
10.125396, 17392, 99.765434
10.139556, 14320, 92.690544
10.153717, 10736, 86.5615
10.167877, 9712, 81.2005
10.182037, 9712, 76.471695
10.196197, 9712, 72.269485
10.210357, 9712, 68.51055
10.224517, 9712, 65.12826
10.238677, 65520, 1334.3334
10.252838, 32752, 654.0612
10.266998, 17392, 433.43243
10.281158, 8176, 324.23233
10.295318, 4080, 259.0645
10.309478, 8176, 215.7651
10.323638, 8176, 184.90805
10.337799, 9712, 161.80402
10.351959, 9712, 143.85715
10.366119, 9712, 129.51405
10.380279, 17392, 117.78832
10.394439, 17392, 108.023415
10.408599, 17392, 99.765434
10.422760, 17392, 92.690544
10.436920, 17392, 86.5615
10.451080, 17392, 81.2005
10.465240, 16880, 76.471695
10.479400, 13808, 72.269485
10.493560, 9712, 68.51055
10.507720, 9712, 65.12826
10.521881, 65520, 1334.3334
10.536041, 34800, 654.0612
10.550201, 32752, 433.43243
10.564361, 32752, 324.23233
10.578521, 17392, 259.0645
10.592681, 17392, 215.7651
10.606842, 17392, 184.90805
10.621002, 17392, 161.80402
10.635162, 17392, 143.85715
10.649322, 17392, 129.51405
10.663482, 17392, 117.78832
10.677642, 17392, 108.023415
10.691802, 17392, 99.765434
10.705963, 11248, 92.690544
10.720123, 9712, 86.5615
10.734283, 9712, 81.2005
10.748443, 9712, 76.471695
10.762603, 9712, 72.269485
10.776763, 9712, 68.51055
10.790924, 9712, 65.12826
10.805084, 65520, 1334.3334
10.819244, 32752, 654.0612
10.833404, 32752, 433.43243
10.847564, 32752, 324.23233
10.861724, 17392, 259.0645
10.875885, 17392, 215.7651
10.890045, 17392, 184.90805
10.904205, 17392, 161.80402
10.918365, 17392, 143.85715
10.932525, 17392, 129.51405
10.946685, 17392, 117.78832
10.960845, 17392, 108.023415
